Fecha,NumVacunas
2020-12-27,1283
2020-12-28,2305
2020-12-29,3464
2020-12-30,3521
2020-12-31,1307
2021-01-01,270
2021-01-02,1282
2021-01-03,925
2021-01-04,3617
2021-01-05,4529
2021-01-06,5849
2021-01-07,7991
2021-01-08,10052
2021-01-09,2028
2021-01-10,1771
2021-01-11,9860
2021-01-12,13460
2021-01-13,13551
2021-01-14,15258
2021-01-15,14022
2021-01-16,3407
2021-01-17,3255
2021-01-18,14322
2021-01-19,15335
2021-01-20,16357
2021-01-21,17399
2021-01-22,15936
2021-01-23,4201
2021-01-24,3125
2021-01-25,12629
2021-01-26,14542
2021-01-27,13567
2021-01-28,13230
2021-01-29,14125
2021-01-30,1829
2021-01-31,1898
2021-02-01,11950
2021-02-02,14392
2021-02-03,15448
2021-02-04,17900
2021-02-05,16143
2021-02-06,3223
2021-02-07,3351
2021-02-08,15531
2021-02-09,17024
2021-02-10,18776
2021-02-11,22564
2021-02-12,21575
2021-02-13,4603
2021-02-14,2390
2021-02-15,15770
2021-02-16,17806
2021-02-17,18009
2021-02-18,20416
2021-02-19,19246
2021-02-20,3193
2021-02-21,2161
2021-02-22,16161
2021-02-23,19959
2021-02-24,19923
2021-02-25,23533
2021-02-26,21540
2021-02-27,3569
2021-02-28,2909
2021-03-01,23049
2021-03-02,30778
2021-03-03,35468
2021-03-04,37985
2021-03-05,34275
2021-03-06,13013
2021-03-07,12388
2021-03-08,34614
2021-03-09,42753
2021-03-10,48291
2021-03-11,53223
2021-03-12,47268
2021-03-13,18422
2021-03-14,13273
2021-03-15,37165
2021-03-16,49427
2021-03-17,48003
2021-03-18,50426
2021-03-19,48128
2021-03-20,17207
2021-03-21,8999
2021-03-22,37087
2021-03-23,40033
2021-03-24,42627
2021-03-25,44214
2021-03-26,42348
2021-03-27,13298
2021-03-28,9696
2021-03-29,39886
2021-03-30,46889
2021-03-31,50218
2021-04-01,57731
2021-04-02,19753
2021-04-03,14577
2021-04-04,11455
2021-04-05,9617
2021-04-06,45472
2021-04-07,45725
2021-04-08,69829
2021-04-09,69773
2021-04-10,30845
2021-04-11,19845
2021-04-12,63452
2021-04-13,62344
2021-04-14,66252
2021-04-15,73611
2021-04-16,70389
2021-04-17,25751
2021-04-18,17987
2021-04-19,59418
2021-04-20,58475
2021-04-21,62146
2021-04-22,71899
2021-04-23,61863
2021-04-24,23122
2021-04-25,18696
2021-04-26,56645
2021-04-27,60321
2021-04-28,71365
2021-04-29,79935
2021-04-30,70830
2021-05-01,22740
2021-05-02,21199
2021-05-03,71243
2021-05-04,73362
2021-05-05,80694
2021-05-06,89241
2021-05-07,85558
2021-05-08,31150
2021-05-09,25457
2021-05-10,78386
2021-05-11,83176
2021-05-12,87503
2021-05-13,91740
2021-05-14,86257
2021-05-15,34165
2021-05-16,27093
2021-05-17,78434
2021-05-18,84106
2021-05-19,91449
2021-05-20,100960
2021-05-21,95242
2021-05-22,43507
2021-05-23,31474
2021-05-24,79604
2021-05-25,85993
2021-05-26,103448
2021-05-27,106723
2021-05-28,106277
2021-05-29,46250
2021-05-30,36871
2021-05-31,101460
2021-06-01,105702
2021-06-02,114541
2021-06-03,115723
2021-06-04,117332
2021-06-05,52989
2021-06-06,42053
2021-06-07,116234
2021-06-08,116000
2021-06-09,120295
2021-06-10,122095
2021-06-11,118855
2021-06-12,52786
2021-06-13,42427
2021-06-14,115119
2021-06-15,114909
2021-06-16,118540
2021-06-17,120370
2021-06-18,121004
2021-06-19,51102
2021-06-20,41252
2021-06-21,109734
2021-06-22,113706
2021-06-23,115179
2021-06-24,118109
2021-06-25,115638
2021-06-26,50760
2021-06-27,40671
2021-06-28,112409
2021-06-29,114398
2021-06-30,117228
2021-07-01,112342
2021-07-02,110969
2021-07-03,38661
2021-07-04,29390
2021-07-05,32801
2021-07-06,33154
2021-07-07,103883
2021-07-08,95667
2021-07-09,95876
2021-07-10,38026
2021-07-11,31413
2021-07-12,95332
2021-07-13,94264
2021-07-14,95877
2021-07-15,92885
2021-07-16,98225
2021-07-17,39784
2021-07-18,33923
2021-07-19,88949
2021-07-20,86582
2021-07-21,84108
2021-07-22,77980
2021-07-23,74886
2021-07-24,33844
2021-07-25,27623
2021-07-26,69601
2021-07-27,66103
2021-07-28,63533
2021-07-29,59996
2021-07-30,62551
2021-07-31,26925
2021-08-01,21580
2021-08-02,53750
2021-08-03,52547
2021-08-04,49893
2021-08-05,53499
2021-08-06,56999
2021-08-07,22375
2021-08-08,19034
2021-08-09,55488
2021-08-10,49219
2021-08-11,52265
2021-08-12,46073
2021-08-13,48870
2021-08-14,12989
2021-08-15,12339
2021-08-16,41971
2021-08-17,34720
2021-08-18,46129
2021-08-19,45561
2021-08-20,48952
2021-08-21,14574
2021-08-22,13515
2021-08-23,47287
2021-08-24,40875
2021-08-25,35077
2021-08-26,32780
2021-08-27,34082
2021-08-28,9063
2021-08-29,8302
2021-08-30,28713
2021-08-31,24010
2021-09-01,18563
2021-09-02,19376
2021-09-03,23310
2021-09-04,4997
2021-09-05,4354
2021-09-06,17358
2021-09-07,13991
2021-09-08,14268
2021-09-09,15186
2021-09-10,18324
2021-09-11,3729
2021-09-12,2304
2021-09-13,14252
2021-09-14,12979
2021-09-15,12408
2021-09-16,12061
2021-09-17,15030
2021-09-18,3530
2021-09-19,2117
2021-09-20,11558
2021-09-21,11087
2021-09-22,9045
2021-09-23,11013
2021-09-24,14279
2021-09-25,3040
2021-09-26,2155
2021-09-27,10071
2021-09-28,863
2021-09-29,11196
2021-09-30,12231
2021-10-01,13034
2021-10-02,2368
2021-10-03,1373
2021-10-04,9552
2021-10-05,9406
2021-10-06,10372
2021-10-07,9993
2021-10-08,14106
2021-10-09,2981
2021-10-10,1758
2021-10-11,9296
2021-10-12,9669
2021-10-13,11190
2021-10-14,12258
2021-10-15,15106
2021-10-16,3540
2021-10-17,2393
2021-10-18,14302
2021-10-19,15615
2021-10-20,22927
2021-10-21,28715
2021-10-22,32998
2021-10-23,8204
2021-10-24,5708
2021-10-25,33040
2021-10-26,36956
2021-10-27,44179
2021-10-28,8137
2021-10-29,37364
2021-10-30,9297
2021-10-31,8279
2021-11-01,40180
2021-11-02,43711
2021-11-03,50587
2021-11-04,52651
2021-11-05,58261
2021-11-06,14326
2021-11-07,9487
2021-11-08,44682
2021-11-09,45646
2021-11-10,47917
2021-11-11,47924
2021-11-12,54453
2021-11-13,13135
2021-11-14,8938
2021-11-15,44033
2021-11-16,52081
2021-11-17,11047
2021-11-18,51856
2021-11-19,61017
2021-11-20,16780
2021-11-21,11756
2021-11-22,50961
2021-11-23,57305
2021-11-24,60264
2021-11-25,64197
2021-11-26,71517
2021-11-27,19447
2021-11-28,12612
2021-11-29,65646
2021-11-30,73781
2021-12-01,88929
2021-12-02,94611
2021-12-03,99128
2021-12-04,32380
2021-12-05,22433
2021-12-06,85506
2021-12-07,97127
2021-12-08,95300
2021-12-09,100407
2021-12-10,100436
2021-12-11,32733
2021-12-12,21613
2021-12-13,79978
2021-12-14,92853
2021-12-15,93127
2021-12-16,96251
2021-12-17,99297
2021-12-18,33513
2021-12-19,22320
2021-12-20,84823
2021-12-21,87743
2021-12-22,75691
2021-12-23,35792
2021-12-24,554
2021-12-25,31
2021-12-26,1295
2021-12-27,62970
2021-12-28,71517
2021-12-29,68451
2021-12-30,53262
2021-12-31,10943
2022-01-01,61
2022-01-02,15295
2022-01-03,72085
2022-01-04,89350
2022-01-05,94416
2022-01-06,101980
2022-01-07,111816
2022-01-08,34482
2022-01-09,20013
2022-01-10,79448
2022-01-11,87950
2022-01-12,87170
2022-01-13,85317
2022-01-14,92764
2022-01-15,24513
2022-01-16,12861
2022-01-17,53901
2022-01-18,57767
2022-01-19,52475
2022-01-20,54737
2022-01-21,61798
2022-01-22,10943
2022-01-23,6526
2022-01-24,38004
2022-01-25,37307
2022-01-26,39542
2022-01-27,39834
2022-01-28,56442
2022-01-29,12055
2022-01-30,4810
2022-01-31,30085
2022-02-01,25803
2022-02-02,26073
2022-02-03,26253
2022-02-04,35993
2022-02-05,5648
2022-02-06,2278
2022-02-07,15969
